exp,num_vars,c,algorithm,time_ms,mults,num_non_zero,trial
20,1048576,0.95,InsideOut,13,239463,52455,1
20,1048576,0.95,SparseDot,2,55525,52455,1
20,1048576,0.95,DotProduct,91,2097151,52455,2
20,1048576,0.95,InsideOut,13,239463,52455,2
20,1048576,0.95,SparseDot,2,55525,52455,2
22,4194304,0.2,DotProduct,358,8388607,3354860,0
22,4194304,0.2,InsideOut,192,4108601,3354860,0
22,4194304,0.2,SparseDot,152,3361002,3354860,0
22,4194304,0.2,DotProduct,364,8388607,3354860,1
22,4194304,0.2,InsideOut,191,4108601,3354860,1
22,4194304,0.2,SparseDot,152,3361002,3354860,1
22,4194304,0.2,DotProduct,363,8388607,3354860,2
22,4194304,0.2,InsideOut,192,4108601,3354860,2
22,4194304,0.2,SparseDot,151,3361002,3354860,2
22,4194304,0.35,DotProduct,361,8388607,2724686,0
22,4194304,0.35,InsideOut,184,3920984,2724686,0
22,4194304,0.35,SparseDot,122,2730828,2724686,0
22,4194304,0.35,DotProduct,362,8388607,2724686,1
22,4194304,0.35,InsideOut,185,3920984,2724686,1
22,4194304,0.35,SparseDot,123,2730828,2724686,1
22,4194304,0.35,DotProduct,363,8388607,2724686,2
22,4194304,0.35,InsideOut,186,3920984,2724686,2
22,4194304,0.35,SparseDot,123,2730828,2724686,2
22,4194304,0.5,DotProduct,362,8388607,2096676,0
22,4194304,0.5,InsideOut,172,3602294,2096676,0
22,4194304,0.5,SparseDot,97,2102818,2096676,0
22,4194304,0.5,DotProduct,361,8388607,2096676,1
22,4194304,0.5,InsideOut,171,3602294,2096676,1
22,4194304,0.5,SparseDot,97,2102818,2096676,1
22,4194304,0.5,DotProduct,362,8388607,2096676,2
22,4194304,0.5,InsideOut,170,3602294,2096676,2
22,4194304,0.5,SparseDot,97,2102818,2096676,2
22,4194304,0.66,DotProduct,362,8388607,1426801,0
22,4194304,0.66,InsideOut,147,3062312,1426801,0
22,4194304,0.66,SparseDot,68,1432943,1426801,0
22,4194304,0.66,DotProduct,360,8388607,1426801,1
22,4194304,0.66,InsideOut,148,3062312,1426801,1
22,4194304,0.66,SparseDot,68,1432943,1426801,1
22,4194304,0.66,DotProduct,360,8388607,1426801,2
22,4194304,0.66,InsideOut,148,3062312,1426801,2
22,4194304,0.66,SparseDot,69,1432943,1426801,2
22,4194304,0.75,DotProduct,361,8388607,1048026,0
22,4194304,0.75,InsideOut,128,2626674,1048026,0
22,4194304,0.75,SparseDot,51,1054168,1048026,0
22,4194304,0.75,DotProduct,359,8388607,1048026,1
22,4194304,0.75,InsideOut,128,2626674,1048026,1
22,4194304,0.75,SparseDot,51,1054168,1048026,1
22,4194304,0.75,DotProduct,361,8388607,1048026,2
22,4194304,0.75,InsideOut,127,2626674,1048026,2
22,4194304,0.75,SparseDot,51,1054168,1048026,2
22,4194304,0.95,DotProduct,363,8388607,209779,0
22,4194304,0.95,InsideOut,52,956621,209779,0
22,4194304,0.95,SparseDot,11,215921,209779,0
22,4194304,0.95,DotProduct,362,8388607,209779,1
22,4194304,0.95,InsideOut,52,956621,209779,1
22,4194304,0.95,SparseDot,11,215921,209779,1
22,4194304,0.95,DotProduct,363,8388607,209779,2
22,4194304,0.95,InsideOut,52,956621,209779,2
22,4194304,0.95,SparseDot,11,215921,209779,2
